Index,Altitude,kalmanAltitude,kalmanVelocity,kalmanAcceleration,ax,ay,az,islaunch,isApogee1,isApogee2,isApogee3
125,1567.16,1566.98,0.1,0.04,0.13,-10.06,0.36,0,0,0,0
126,1567.06,1567,0.11,0.04,0.11,-10.07,0.36,0,0,0,0
127,1566.78,1566.99,0.1,0.04,0.15,-10.07,0.29,0,0,0,0
128,1566.97,1567,0.1,0.04,0.11,-10.06,0.37,0,0,0,0
129,1566.78,1566.98,0.09,0.04,0.14,-10.07,0.34,0,0,0,0
130,1566.97,1566.99,0.1,0.04,0.13,-10.07,0.28,0,0,0,0
131,1566.97,1567,0.1,0.04,0.12,-10.05,0.36,0,0,0,0
132,1566.78,1566.98,0.09,0.04,0.13,-10.07,0.33,0,0,0,0
133,1567.06,1567,0.1,0.04,0.14,-10.06,0.31,0,0,0,0
134,1566.39,1566.95,0.07,0.03,0.1,-10.06,0.39,0,0,0,0
135,1566.78,1566.93,0.06,0.03,0.13,-10.06,0.32,0,0,0,0
136,1567.06,1566.96,0.07,0.03,0.13,-10.06,0.31,0,0,0,0
137,1567.06,1566.98,0.08,0.03,0.13,-10.05,0.38,0,0,0,0
138,1566.97,1566.98,0.09,0.03,0.14,-10.06,0.3,0,0,0,0
139,1566.97,1566.99,0.09,0.03,0.14,-10.06,0.34,0,0,0,0
140,1567.16,1567.02,0.11,0.04,0.1,-10.05,0.37,0,0,0,0
141,1566.87,1567.02,0.1,0.04,0.15,-10.07,0.3,0,0,0,0
142,1566.78,1567,0.09,0.03,0.12,-10.07,0.33,0,0,0,0
143,1567.26,1567.04,0.11,0.04,0.13,-10.06,0.36,0,0,0,0
144,1567.26,1567.07,0.13,0.04,0.12,-10.07,0.32,0,0,0,0
145,1567.35,1567.12,0.16,0.05,0.15,-10.06,0.34,0,0,0,0
146,1566.78,1567.1,0.14,0.04,0.11,-10.06,0.34,0,0,0,0
147,1566.68,1567.06,0.12,0.04,0.15,-10.07,0.31,0,0,0,0
148,1567.26,1567.1,0.13,0.04,0.11,-10.06,0.33,0,0,0,0
149,1567.16,1567.12,0.14,0.04,0.13,-10.06,0.34,0,0,0,0
150,1566.97,1567.12,0.14,0.04,0.12,-10.07,0.3,0,0,0,0
151,1566.97,1567.11,0.13,0.04,0.13,-10.05,0.36,0,0,0,0
152,1567.16,1567.13,0.14,0.04,0.14,-10.06,0.35,0,0,0,0
153,1566.78,1567.11,0.12,0.04,0.11,-10.07,0.3,0,0,0,0
