Index, Altitude, kalmanAltitude, kalmanVelocity, kalmanAcceleration, ax, ay, az, islaunch, isApogee1, isApogee2, isApogee3
1029,1564.09,1562.06,-1.79,-0.76,-2.95,0.68,-10.05,1,0,0,1
1030,1564.28,1562.1,-1.77,-0.76,-0.77,1.7,-10.1,1,0,0,1
1031,1564.38,1562.14,-1.75,-0.75,-0.83,0.41,-10.38,1,0,0,1
1032,1564.09,1562.15,-1.74,-0.75,-0.51,2.12,-9.45,1,0,0,1
1033,1563.99,1562.15,-1.74,-0.75,-1.97,1.75,-10.45,1,0,0,1
1034,1563.8,1562.13,-1.75,-0.75,0.11,1.55,-10.07,1,0,0,1
1035,1563.99,1562.13,-1.75,-0.75,0.38,2.01,-9.78,1,0,0,1
1036,1563.42,1562.07,-1.79,-0.76,-1.26,0.78,-10.05,1,0,0,1
1037,1563.8,1562.05,-1.8,-0.76,-0.6,1.31,-9.76,1,0,0,1
1038,1563.51,1562,-1.82,-0.77,0.2,2.45,-10.22,1,0,0,1
1039,1563.99,1562.02,-1.81,-0.77,-2.47,1.39,-9.67,1,0,0,1
1040,1563.9,1562.01,-1.82,-0.77,-0.91,0.63,-10.4,1,0,0,1
1041,1563.8,1562,-1.82,-0.77,0.17,1.67,-9.31,1,0,0,1
1042,1564.09,1562.02,-1.8,-0.76,-1.61,2.61,-9.9,1,0,0,1
1043,1563.9,1562.02,-1.8,-0.76,-0.79,1.37,-10.44,1,0,0,1
1044,1564.38,1562.07,-1.77,-0.75,-1.17,0.86,-10.28,1,0,0,1
1045,1563.8,1562.06,-1.78,-0.76,-0.68,2.32,-9.67,1,0,0,1
1046,1563.7,1562.03,-1.79,-0.76,-0.15,1.21,-10.36,1,0,0,1
1047,1563.99,1562.04,-1.79,-0.76,-0.51,2.24,-10.26,1,0,0,1
1048,1563.9,1562.04,-1.79,-0.76,-2.28,2.4,-9.61,1,0,0,1
1049,1564.09,1562.06,-1.78,-0.75,-1.87,0.36,-10.33,1,0,0,1
1050,1564.09,1562.07,-1.77,-0.75,0.36,-0.09,-10.56,1,0,0,1
1051,1563.9,1562.07,-1.77,-0.75,-1.97,0.85,-10.29,1,0,0,1
1052,1563.9,1562.06,-1.77,-0.75,-3.21,1.76,-9.85,1,0,0,1
1053,1564.28,1562.1,-1.75,-0.75,-0.84,1.23,-10.04,1,0,0,1
1054,1564.28,1562.14,-1.73,-0.74,-0.94,1.73,-10.25,1,0,0,1
1055,1563.51,1562.09,-1.76,-0.75,-0.51,1.04,-10.09,1,0,0,1
1056,1563.99,1562.09,-1.76,-0.75,-0.17,1.4,-10.66,1,0,0,1
1057,1563.8,1562.07,-1.77,-0.76,-1.4,1.51,-10.03,1,0,0,1
1058,1564.28,1562.11,-1.75,-0.75,-1.14,0.66,-11.18,1,0,0,1
1059,1563.7,1562.08,-1.77,-0.76,-0.5,1.11,-9.59,1,0,0,1
1060,1564.09,1562.1,-1.76,-0.75,-2.45,0.61,-10.15,1,0,0,1
1061,1564.18,1562.12,-1.74,-0.75,-1.24,1.45,-9.87,1,0,0,1
1062,1563.61,1562.08,-1.77,-0.76,-1.58,0.84,-10.3,1,0,0,1
1063,1563.9,1562.08,-1.77,-0.76,-3.06,1.86,-9.89,1,0,0,1
1064,1563.99,1562.08,-1.76,-0.75,-0.83,1.45,-9.73,1,0,0,1
1065,1564.09,1562.1,-1.75,-0.75,-1.11,1.92,-10.08,1,0,0,1
1066,1563.7,1562.07,-1.77,-0.75,-1.36,2.13,-9.53,1,0,0,1
1067,1563.9,1562.07,-1.77,-0.75,-1.3,2.11,-9.54,1,0,0,1
1068,1563.51,1562.02,-1.79,-0.76,-1.74,2.2,-10.13,1,0,0,1
1069,1563.9,1562.02,-1.79,-0.76,-1.51,1.97,-9.97,1,0,0,1
1070,1563.8,1562.01,-1.8,-0.76,-1.88,1.99,-9.89,1,0,0,1
